No.;var00001;Substituent;Backbone length;Backbone;Substitution energy;homo;lumo;pa;homo2;lumo2;pa2;he.w.pn;nhe;be.gla;ml.gla;dmd.gla;d.d1rgla;d.d2rgla;drd1rgla;drd2rgla;nbo.glaf;be.pd;ml.pd;dmd.pd;d.d1r.pd;d.d2r.pd;d.rd1rpd;d.rd2rpd;nbo.pd.f;dppd.d1;dppd.d2;dpzn.d1;dpzn.d2;kmeansPCA;hiePCA;kmeansUMAP;hieUMAP;kmeansTSNE;hieTSNE;kmeansUMAP(n10);hieUMAP(n10);kmeansUMAP(n15);hieUMAP(n15);;;;;;;;;;;;;;;;;;
47;4;OMe;4;E;-26.85;-0.20052;-0.0442;226.636;-0.20052;-0.0442;226.636;12.092;11.8504;30.0732;2.26;77.6;-0.026;-0.029;3;3.3;-0.1491;97.3087;2.38;86.1;-0.035;-0.036;3.8;4.3;-0.857;-0.012;-0.019;-0.021;-0.032;0;2;5;4;2;3;4;4;0;0;;;;;;;;;;;;;;;;;;
48;4;OPh;4;E;-16.13;-0.19911;-0.06402;225.354;-0.19911;-0.06402;225.354;10.741;10.3067;21.5152;2.243;73.7;-0.018;-0.03;2.1;3.1;-0.1009;81.8531;2.365;85.9;-0.035;-0.037;3.6;2.6;-0.7579;-0.014;-0.007;0.102;-0.017;0;0;5;5;5;2;4;2;0;0;;;;;;;;;;;;;;;;;;
49;2;CF3;4;E;-12.27;-0.2539;-0.0772;198.26;-0.2539;-0.0772;198.26;10.0607;9.71813;14.9471;2.223;74.1;-0.006;-0.006;2.6;2.7;-0.0513;73.4715;2.346;86.6;0;0;4.7;4.7;-0.625;-0.016;-0.016;0.084;0.073;4;3;3;2;0;5;1;3;3;3;;;;;;;;;;;;;;;;;;
50;5;NMe2;4;E;-17.94;-0.1963;-0.0368;232.11;-0.1963;-0.0368;232.11;16.093;15.9261;34.8184;2.272;79.6;-0.025;-0.018;3.3;2.4;-0.1173;102.32;2.397;88.1;-0.025;-0.019;0.4;-0.7;-0.8871;0.001;0.002;-0.045;-0.045;3;2;4;0;1;1;0;1;2;4;;;;;;;;;;;;;;;;;;
51;3;Ph;4;E;-16.80;-0.1896;-0.0526;238.11;-0.1896;-0.0526;238.11;12.6461;11.8824;32.6799;2.272;80.9;-0.018;-0.013;4.3;4.7;-0.1058;95.9075;2.38;87.7;-0.019;-0.018;4.1;4.3;-0.7966;0.003;0.004;-0.062;-0.037;0;1;4;0;3;1;0;1;2;4;;;;;;;;;;;;;;;;;;
52;2;C6F5;4;E;-12.74;-0.21994;-0.08043;221.186;-0.21994;-0.08043;221.186;12.2721;11.5084;23.2152;2.642;77.5;-0.019;-0.017;3.5;2.3;-0.0602;81.4308;2.369;87.5;-0.019;-0.02;3.9;4;-0.7;-0.01;-0.009;-0.023;0.067;5;0;1;3;5;2;2;5;5;1;;;;;;;;;;;;;;;;;;
53;3;o-Tol;4;E;-8.28;-0.18768;-0.05279;239.374;-0.18768;-0.05279;239.374;18.4229;17.4741;31.706;2.278;81.5;-0.001;-0.012;2.5;4.7;-0.0996;87.8866;2.377;88.6;0.002;-0.01;1.8;4.1;-0.756;0.037;0.038;-0.043;-0.039;1;1;4;0;3;2;0;1;2;4;;;;;;;;;;;;;;;;;;
54;3;p-Tol;4;E;-17.72;-0.18431;-0.05246;242.17;-0.18431;-0.05246;242.17;12.5162;11.7556;34.6867;2.272;80.4;-0.014;-0.017;3.6;4.8;-0.1106;96.8657;2.381;87.9;-0.015;-0.017;3.4;4.4;-0.8043;0.013;0.003;-0.036;-0.056;0;1;4;0;3;1;0;1;2;4;;;;;;;;;;;;;;;;;;
55;3;p-CF3-Ph;4;E;-15.14;-0.21025;-0.08109;227.093;-0.21025;-0.08109;227.093;14.3002;14.39;28.896;2.266;80.7;-0.013;-0.01;2.7;3.6;-0.0901;91.8663;2.375;88.1;-0.015;-0.017;2.7;3.7;-0.7689;-0.002;-0.002;-0.046;-0.026;0;0;0;1;5;2;5;0;5;1;;;;;;;;;;;;;;;;;;
56;1;Me;3;F;-14.07;-0.1941;0.0175;232.11;-0.1941;0.0175;232.11;8.80259;8.78;32.5952;2.256;66.2;-0.02;-0.019;3.4;3.5;-0.1191;87.8333;2.368;72.7;-0.026;-0.025;5.9;6;-0.8202;-0.008;-0.007;-0.016;-0.017;0;1;2;4;1;1;4;4;4;0;;;;;;;;;;;;;;;;;;
